Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
SelectKBest_f_classif20,RandomForest,0.5847,0.5,0.1169,0.5004,0.2714,,,7.0
SelectKBest_f_classif20,XGBoost,0.5705,0.5764,0.0908,0.3967,,,,7.0
SelectKBest_f_classif20,kNN,0.5784,0.4695,0.1861,0.5668,0.3544,,,7.0
SelectKBest_f_classif20,SVM,0.5596,0.449,0.1318,0.4782,0.3247,,,7.0
SelectKBest_f_classif20,MLP,0.4798,0.5219,0.1086,0.6801,0.4611,,,7.0
SelectKBest_f_classif20,LR,0.5714,0.53,0.1033,0.5557,0.3215,0.4855,,7.0
SelectKBest_f_classif20,CatBoost,0.5136,0.598,0.0844,0.4347,0.2005,,,7.0
SelectKBest_f_classif40,RandomForest,0.5431,0.5,0.0537,0.6174,,,,14.0
SelectKBest_f_classif40,XGBoost,0.4848,0.5764,0.1037,0.5483,,,,14.0
SelectKBest_f_classif40,kNN,0.4136,0.4695,0.1402,0.5963,,,,14.0
SelectKBest_f_classif40,SVM,0.4463,0.449,0.0825,0.6877,0.4839,,,14.0
SelectKBest_f_classif40,MLP,0.4694,0.5219,0.0691,0.6554,,,,14.0
SelectKBest_f_classif40,LR,0.5147,0.53,0.1065,0.5947,,0.4855,,14.0
SelectKBest_f_classif40,CatBoost,0.4884,0.598,0.1465,0.5067,,,,14.0
SelectKBest_f_classif60,RandomForest,0.5408,0.5,0.0554,0.5031,0.3774,,,21.0
SelectKBest_f_classif60,XGBoost,0.5706,0.5764,0.0422,0.5205,,,,21.0
SelectKBest_f_classif60,kNN,0.3798,0.4695,0.0897,0.6422,,,,21.0
SelectKBest_f_classif60,SVM,0.4908,0.449,0.0418,0.6813,0.5652,,,21.0
SelectKBest_f_classif60,MLP,0.5109,0.5219,0.0558,0.5489,,,,21.0
SelectKBest_f_classif60,LR,0.5484,0.53,0.0252,0.5104,,0.4855,,21.0
SelectKBest_f_classif60,CatBoost,0.5687,0.598,0.0401,0.5403,,,,21.0
SelectKBest_f_classif80,RandomForest,0.6147,0.5,0.1234,0.455,,,,28.0
SelectKBest_f_classif80,XGBoost,0.6083,0.5764,0.032,0.5584,0.3481,,,28.0
SelectKBest_f_classif80,kNN,0.3479,0.4695,0.1265,0.5964,,,,28.0
SelectKBest_f_classif80,SVM,0.4699,0.449,0.0209,0.6485,0.4749,,,28.0
SelectKBest_f_classif80,MLP,0.5378,0.5219,0.0894,0.5662,,,,28.0
SelectKBest_f_classif80,LR,0.5304,0.53,0.0004,0.4811,,0.4855,,28.0
SelectKBest_f_classif80,CatBoost,0.5642,0.598,0.0459,0.4969,,,,28.0
SelectPercentile_mutual_info20,RandomForest,0.4674,0.5,0.1104,0.5641,,,,7.0
SelectPercentile_mutual_info20,XGBoost,0.5125,0.5764,0.0787,0.5223,,,,7.0
SelectPercentile_mutual_info20,kNN,0.5811,0.4695,0.1874,0.6148,0.4552,,,7.0
SelectPercentile_mutual_info20,SVM,0.5739,0.449,0.1611,0.4712,,,,7.0
SelectPercentile_mutual_info20,MLP,0.4524,0.5219,0.1166,0.6629,,,,7.0
SelectPercentile_mutual_info20,LR,0.562,0.53,0.0921,0.5597,0.4267,0.4855,,7.0
SelectPercentile_mutual_info20,CatBoost,0.5058,0.598,0.0922,0.4613,,,,7.0
SelectPercentile_mutual_info40,RandomForest,0.5448,0.5,0.057,0.4899,,,,14.0
SelectPercentile_mutual_info40,XGBoost,0.5359,0.5764,0.0949,0.5026,,,,14.0
SelectPercentile_mutual_info40,kNN,0.4665,0.4695,0.1417,0.6088,,,,14.0
SelectPercentile_mutual_info40,SVM,0.4912,0.449,0.0885,0.681,0.5614,,,14.0
SelectPercentile_mutual_info40,MLP,0.4535,0.5219,0.0961,0.4693,,,,14.0
SelectPercentile_mutual_info40,LR,0.4928,0.53,0.0812,0.4561,,0.4855,,14.0
SelectPercentile_mutual_info40,CatBoost,0.5726,0.598,0.1129,0.4032,,,,14.0
SelectPercentile_mutual_info60,RandomForest,0.5997,0.5,0.1945,0.4405,0.3027,,,21.0
SelectPercentile_mutual_info60,XGBoost,0.5458,0.5764,0.0696,0.5041,,,,21.0
SelectPercentile_mutual_info60,kNN,0.4263,0.4695,0.0534,0.6156,,,,21.0
SelectPercentile_mutual_info60,SVM,0.4338,0.449,0.0478,0.6496,0.5301,,,21.0
SelectPercentile_mutual_info60,MLP,0.4537,0.5219,0.0682,0.5706,,,,21.0
SelectPercentile_mutual_info60,LR,0.4772,0.53,0.0703,0.5737,,0.4855,,21.0
SelectPercentile_mutual_info60,CatBoost,0.5195,0.598,0.1405,0.6432,,,,21.0
SelectPercentile_mutual_info80,RandomForest,0.5292,0.5,0.0291,0.5647,,,,28.0
SelectPercentile_mutual_info80,XGBoost,0.6048,0.5764,0.0285,0.583,0.3922,,,28.0
SelectPercentile_mutual_info80,kNN,0.4395,0.4695,0.0807,0.5625,,,,28.0
SelectPercentile_mutual_info80,SVM,0.4807,0.449,0.0548,0.6505,0.4704,,,28.0
SelectPercentile_mutual_info80,MLP,0.5132,0.5219,0.1105,0.5098,,,,28.0
SelectPercentile_mutual_info80,LR,0.5382,0.53,0.0365,0.4352,,0.4855,,28.0
SelectPercentile_mutual_info80,CatBoost,0.5676,0.598,0.0304,0.5128,,,,28.0
RFE_LogisticRegression20,RandomForest,0.6149,0.5,0.1327,0.5345,0.3385,,,7.0
RFE_LogisticRegression20,XGBoost,0.5982,0.5764,0.0496,0.5078,0.2566,,,7.0
RFE_LogisticRegression20,kNN,0.6523,0.4695,0.1828,0.5169,0.3398,,,7.0
RFE_LogisticRegression20,SVM,0.5955,0.449,0.1465,0.5282,0.3386,,,7.0
RFE_LogisticRegression20,MLP,0.5768,0.5219,0.1344,0.5959,0.3725,,,7.0
