Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
SelectKBest_f_classif20,RandomForest,0.5074,0.5087,0.0044,0.8696,0.8019,0.8662,0.7903,33.0
SelectKBest_f_classif20,XGBoost,0.5054,0.501,0.0117,0.8946,0.8304,0.8841,0.8312,33.0
SelectKBest_f_classif20,kNN,0.4795,0.4798,0.0017,0.893,0.8387,0.892,0.828,33.0
SelectKBest_f_classif20,SVM,0.4575,0.4373,0.0202,0.8324,0.7037,0.8591,0.7324,33.0
SelectKBest_f_classif20,MLP,0.4677,0.4897,0.0367,0.8785,0.813,0.8592,0.8128,33.0
SelectKBest_f_classif20,LR,0.3063,0.3432,0.0369,0.8594,0.7875,0.8667,0.7904,33.0
SelectKBest_f_classif20,CatBoost,0.5005,0.5089,0.01,0.8916,0.8225,0.8715,0.8067,33.0
SelectKBest_f_classif40,RandomForest,0.5084,0.5087,0.0062,0.8871,0.8147,0.8662,0.7903,67.0
SelectKBest_f_classif40,XGBoost,0.5029,0.501,0.0082,0.9038,0.8376,0.8841,0.8312,67.0
SelectKBest_f_classif40,kNN,0.4793,0.4798,0.0032,0.8884,0.8122,0.892,0.828,67.0
SelectKBest_f_classif40,SVM,0.448,0.4373,0.0107,0.8184,0.697,0.8591,0.7324,67.0
SelectKBest_f_classif40,MLP,0.4057,0.4897,0.0839,0.8432,0.7457,0.8592,0.8128,67.0
SelectKBest_f_classif40,LR,0.3231,0.3432,0.0201,0.8422,,0.8667,0.7904,67.0
SelectKBest_f_classif40,CatBoost,0.5051,0.5089,0.0053,0.8872,0.8291,0.8715,0.8067,67.0
SelectKBest_f_classif60,RandomForest,0.5081,0.5087,0.0117,0.8751,0.8024,0.8662,0.7903,101.0
SelectKBest_f_classif60,XGBoost,0.5054,0.501,0.0085,0.8837,0.8304,0.8841,0.8312,101.0
SelectKBest_f_classif60,kNN,0.481,0.4798,0.0022,0.8935,0.8439,0.892,0.828,101.0
SelectKBest_f_classif60,SVM,0.4413,0.4373,0.0046,0.838,0.6982,0.8591,0.7324,101.0
SelectKBest_f_classif60,MLP,0.4544,0.4897,0.0353,0.8582,0.8047,0.8592,0.8128,101.0
SelectKBest_f_classif60,LR,0.335,0.3432,0.0093,0.8128,0.7252,0.8667,0.7904,101.0
